--env SUMMARY	--env FOLD
A04.gwas.imputed_v3.both_sexes.tsv	tsk1
A08.gwas.imputed_v3.both_sexes.tsv	tsk2
A09.gwas.imputed_v3.both_sexes.tsv	tsk3
A41.gwas.imputed_v3.both_sexes.tsv	tsk4
A63.gwas.imputed_v3.both_sexes.tsv	tsk5
A87.gwas.imputed_v3.both_sexes.tsv	tsk6
AB1_INFECTIONS.gwas.imputed_v3.both_sexes.tsv	tsk7
AB1_INTESTINAL_INFECTIONS.gwas.imputed_v3.both_sexes.tsv	tsk8
AB1_MYCOSES.gwas.imputed_v3.both_sexes.tsv	tsk9
AB1_OTHER_BACTERIAL.gwas.imputed_v3.both_sexes.tsv	tsk10
AB1_OTHER_VIRAL.gwas.imputed_v3.both_sexes.tsv	tsk11
AB1_SEXUAL_TRANSMISSION.gwas.imputed_v3.both_sexes.tsv	tsk12
AB1_VIRAL_CNS.gwas.imputed_v3.both_sexes.tsv	tsk13
AB1_VIRAL_HEPATITIS.gwas.imputed_v3.both_sexes.tsv	tsk14
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gwas.imputed_v3.both_sexes.tsv	tsk15
AD.gwas.imputed_v3.both_sexes.tsv	tsk16
AMN2.gwas.imputed_v3.both_sexes.tsv	tsk17
ASTHMA_CHILD.gwas.imputed_v3.both_sexes.tsv	tsk18
ASTHMA_EOSINOPHIL_SUGG.gwas.imputed_v3.both_sexes.tsv	tsk19
ASTHMA_HOSPITAL1.gwas.imputed_v3.both_sexes.tsv	tsk20
ASTHMA_MEDICATIO_COMORB.gwas.imputed_v3.both_sexes.tsv	tsk21
ASTHMA_MODE.gwas.imputed_v3.both_sexes.tsv	tsk22
ASTHMA_OPPORTUNIST_INFECTIONS.gwas.imputed_v3.both_sexes.tsv	tsk23
ASTHMA_PNEUMONIA.gwas.imputed_v3.both_sexes.tsv	tsk24
B02.gwas.imputed_v3.both_sexes.tsv	tsk25
B07.gwas.imputed_v3.both_sexes.tsv	tsk26
B18.gwas.imputed_v3.both_sexes.tsv	tsk27
B34.gwas.imputed_v3.both_sexes.tsv	tsk28
B37.gwas.imputed_v3.both_sexes.tsv	tsk29
BACT_INTEST_INFECTION_NOS.gwas.imputed_v3.both_sexes.tsv	tsk30
BRONCHITIS.gwas.imputed_v3.both_sexes.tsv	tsk31
C_ANUS_ANALCANAL.gwas.imputed_v3.both_sexes.tsv	tsk32
C_BLADDER.gwas.imputed_v3.both_sexes.tsv	tsk33
C_BRAIN.gwas.imputed_v3.both_sexes.tsv	tsk34
C_BREAST_3.gwas.imputed_v3.both_sexes.tsv	tsk35
C_BRONCHUS_LUNG.gwas.imputed_v3.both_sexes.tsv	tsk36
C_CERVIX_UTERI.gwas.imputed_v3.both_sexes.tsv	tsk37
C_COLON.gwas.imputed_v3.both_sexes.tsv	tsk38
C_CONNECTIVE_SOFT_NAS.gwas.imputed_v3.both_sexes.tsv	tsk39
C_CORPUS_UTERI.gwas.imputed_v3.both_sexes.tsv	tsk40
C_DIFFICILE_ENTEROCOLITIS.gwas.imputed_v3.both_sexes.tsv	tsk41
C_DIGESTIVE_ORGANS.gwas.imputed_v3.both_sexes.tsv	tsk42
C_ENDOCRINE.gwas.imputed_v3.both_sexes.tsv	tsk43
C_EYE_ADNEXA.gwas.imputed_v3.both_sexes.tsv	tsk44
C_EYE_BRAIN_NEURO.gwas.imputed_v3.both_sexes.tsv	tsk45
C_FEMALE_GENITAL.gwas.imputed_v3.both_sexes.tsv	tsk46
C_FOLLICULAR_LYMPHOMA.gwas.imputed_v3.both_sexes.tsv	tsk47
C_HODGKIN_LYMPHOMA.gwas.imputed_v3.both_sexes.tsv	tsk48
C_KIDNEY_NOTRENALPELVIS.gwas.imputed_v3.both_sexes.tsv	tsk49
C_LARYNX.gwas.imputed_v3.both_sexes.tsv	tsk50
C_LIP_ORAL_PHARYNX.gwas.imputed_v3.both_sexes.tsv	tsk51
C_LIVER_INTRAHEPATIC_BILE_DUCTS.gwas.imputed_v3.both_sexes.tsv	tsk52
C_LYMPHNODES_SECONDARY_NAS.gwas.imputed_v3.both_sexes.tsv	tsk53
C_LYMPHOID_LEUKAEMIA.gwas.imputed_v3.both_sexes.tsv	tsk54
C_LYMPHOMA.gwas.imputed_v3.both_sexes.tsv	tsk55
C_MALE_GENITAL.gwas.imputed_v3.both_sexes.tsv	tsk56
C_MELANOMA_SKIN.gwas.imputed_v3.both_sexes.tsv	tsk57
C_MESOTHELIOMA.gwas.imputed_v3.both_sexes.tsv	tsk58
C_MESTOTHEL_SOFTTISSUE.gwas.imputed_v3.both_sexes.tsv	tsk59
C_MULTIPLE_MYELOMA_PLASMA_CELL.gwas.imputed_v3.both_sexes.tsv	tsk60
C_MYELOID-LEUKAEMIA.gwas.imputed_v3.both_sexes.tsv	tsk61
C_NONFOLLICULAR_LYMPHOMA.gwas.imputed_v3.both_sexes.tsv	tsk62
C_NONHODGKIN_NAS.gwas.imputed_v3.both_sexes.tsv	tsk63
C_OESOPHAGUS.gwas.imputed_v3.both_sexes.tsv	tsk64
C_OTHER_SKIN.gwas.imputed_v3.both_sexes.tsv	tsk65
C_OVARY.gwas.imputed_v3.both_sexes.tsv	tsk66
C_PANCREAS.gwas.imputed_v3.both_sexes.tsv	tsk67
C_PRIMARY_LYMPHOID_HEMATOPOIETIC.gwas.imputed_v3.both_sexes.tsv	tsk68
C_PROSTATE.gwas.imputed_v3.both_sexes.tsv	tsk69
C_RECTOISIGMOID_JUNCTION.gwas.imputed_v3.both_sexes.tsv	tsk70
C_RECTUM.gwas.imputed_v3.both_sexes.tsv	tsk71
C_RESPIRATORY_INTRATHORACIC.gwas.imputed_v3.both_sexes.tsv	tsk72
C_SECONDARY_RESPIRATORY_DIGESTIVE.gwas.imputed_v3.both_sexes.tsv	tsk73
C_SECONDARY_WITHOUT_SITESPEC.gwas.imputed_v3.both_sexes.tsv	tsk74
C_SKIN.gwas.imputed_v3.both_sexes.tsv	tsk75
C_SMALL_INTESTINE.gwas.imputed_v3.both_sexes.tsv	tsk76
C_STOMACH.gwas.imputed_v3.both_sexes.tsv	tsk77
C_STROKE.gwas.imputed_v3.both_sexes.tsv	tsk78
C_TESTIS.gwas.imputed_v3.both_sexes.tsv	tsk79
C_THYROID_GLAND.gwas.imputed_v3.both_sexes.tsv	tsk80
C_TNK_LYMPHOMA.gwas.imputed_v3.both_sexes.tsv	tsk81
C_TONGUENAS.gwas.imputed_v3.both_sexes.tsv	tsk82
C_TONSIL.gwas.imputed_v3.both_sexes.tsv	tsk83
C_UNCERTAIN_SECONDARY.gwas.imputed_v3.both_sexes.tsv	tsk84
C_URINARY_TRACT.gwas.imputed_v3.both_sexes.tsv	tsk85
C01.gwas.imputed_v3.both_sexes.tsv	tsk86
C02.gwas.imputed_v3.both_sexes.tsv	tsk87
C09.gwas.imputed_v3.both_sexes.tsv	tsk88
C15.gwas.imputed_v3.both_sexes.tsv	tsk89
C16.gwas.imputed_v3.both_sexes.tsv	tsk90
C17.gwas.imputed_v3.both_sexes.tsv	tsk91
C18.gwas.imputed_v3.both_sexes.tsv	tsk92
C19.gwas.imputed_v3.both_sexes.tsv	tsk93
C20.gwas.imputed_v3.both_sexes.tsv	tsk94
C21.gwas.imputed_v3.both_sexes.tsv	tsk95
C22.gwas.imputed_v3.both_sexes.tsv	tsk96
C25.gwas.imputed_v3.both_sexes.tsv	tsk97
C3_ANUS_ANALCANAL.gwas.imputed_v3.both_sexes.tsv	tsk98
C3_BLADDER.gwas.imputed_v3.both_sexes.tsv	tsk99
C3_BRAIN.gwas.imputed_v3.both_sexes.tsv	tsk100
C3_BREAST_3.gwas.imputed_v3.both_sexes.tsv	tsk101
C3_BRONCHUS_LUNG.gwas.imputed_v3.both_sexes.tsv	tsk102
C3_CERVIX_UTERI.gwas.imputed_v3.both_sexes.tsv	tsk103
C3_COLON.gwas.imputed_v3.both_sexes.tsv	tsk104
C3_CONNECTIVE_SOFT_NAS.gwas.imputed_v3.both_sexes.tsv	tsk105
C3_CORPUS_UTERI.gwas.imputed_v3.both_sexes.tsv	tsk106
C3_DIGESTIVE_ORGANS.gwas.imputed_v3.both_sexes.tsv	tsk107
C3_ENDOCRINE.gwas.imputed_v3.both_sexes.tsv	tsk108
